id,fecha,area,tipo,prioridad,premisa,detalle,alcance,estado,version_referencia
SS-CON-0032,2026-06-08,Producto/Visualizacion,Recorrido registrado no equivale a recorrido exacto,Critica,"En recorridos largos la interfaz debe distinguir posiciones confirmadas, tramos estimados y ausencia de comunicacion","Save Swimmer no unira silenciosamente huecos como si fueran evidencia confirmada; destacara ultima posicion valida, cortes, recuperaciones y confianza","Lite/Pro/Athlete/Coach/Events",PROPUESTA,BASE-V001
SS-CON-0001,2026-06-03,Producto/Seguridad,Premisa madre,Critica,"Save Swimmer existe para rescate, atencion primaria y reduccion del tiempo de respuesta en agua","Las metricas deportivas y visuales son herramientas de adopcion; no deben desplazar la finalidad principal","Lite/Pro/Events",ACTIVA,BASE-V001
SS-CON-0002,2026-06-03,Alcance tecnico,Limite de producto,Critica,"Save Swimmer es para seguridad en agua, no para seguridad terrestre","No prometer seguimiento confiable en arena, malecon, estacionamiento o ciudad; informar solo eventos vinculados al nado y ultima ubicacion asociada","Lite/Pro/Events",ACTIVA,BASE-V001
SS-CON-0003,2026-06-03,Eventos acuaticos,Evento de seguridad,Alta,"Salida del agua fuera del punto esperado debe registrarse como incidencia de seguridad","Sensor agua pasa de mojado a seco durante sesion activa y ubicacion/distancia indica salida lejos de base; requiere verificacion, no SOS automatico","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0004,2026-06-03,Sesiones,Control operativo,Alta,"Entrenamientos y competencias pueden configurarse por tiempo, distancia o geocerca","Permite detectar fuera de tiempo, rezagados, pendientes de cierre, fuera de zona y senal perdida","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0005,2026-06-03,Sesiones,Control de cierre,Alta,"Cada atleta debe quedar cerrado seguro o pendiente de verificacion al finalizar una sesion grupal","Evita el error humano de asumir que un nadador ya salio o se fue sin corroborarlo","Coach/Events",PROPUESTA,BASE-V001
SS-CON-0006,2026-06-03,Coach,Premisa de app,Critica,"Coach es app monitor, no centro de datos","No descarga datos crudos completos ni ve historial privado por defecto; monitorea en vivo y ve solo lo autorizado por el atleta","Coach",ACTIVA,BASE-V001
SS-CON-0007,2026-06-03,Emergencia,Regla de respuesta,Critica,"En nado grupal o entrenamiento con coach, el primer contacto ante emergencia es el coach","La app Coach debe tener alarma extremadamente visible, sonora y vibratoria para eventos criticos","Coach/Events",ACTIVA,BASE-V001
SS-CON-0008,2026-06-03,Geocerca,Flujo de entrenamiento,Alta,"En sesion con coach, el coach puede definir la geocerca del entrenamiento","El atleta se une y acepta compartir seguridad en vivo durante esa sesion; la geocerca deja de aplicar al terminar","Coach/Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0009,2026-06-03,Privacidad,Permisos de datos,Critica,"El atleta define que comparte; el coach solo ve lo autorizado","Los datos compartibles deben organizarse por niveles: seguridad basica, entrenamiento en vivo, resumen tecnico y sesion completa","App Atleta/Coach",ACTIVA,BASE-V001
SS-CON-0010,2026-06-03,Datos compartibles,Taxonomia,Alta,"Lista base de datos compartibles","Ubicacion, ultima ubicacion asociada al nado, senal, agua/seco, distancia a base, geocerca, tiempo, distancia, ritmo por 100 m, velocidad GPS, movimiento, rotacion dorsal, simetria, regularidad, impulso, alertas, SOS, resumen e historial compartido","App Atleta/Coach/Backend",PROPUESTA,BASE-V001
SS-CON-0011,2026-06-05,Arquitectura producto,Decision de variantes,Alta,"Priorizar una plataforma dorsal comun configurable antes que un dispositivo distinto por competencia","Lite cubre uso local, entrenamiento y competencias costeras con cobertura; Events agrega infraestructura y software; Pro modifica bateria, antenas y comunicacion para larga distancia o zonas remotas","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0012,2026-06-05,Competencias,Clasificacion operativa,Alta,"Las variantes se definen por riesgo, cobertura, autonomia, visibilidad y cantidad de atletas; no solamente por nombre del evento","Puntuable, nocturno, masivo, travesia, entrenamiento grupal, solitario y segmento acuatico requieren configuraciones diferentes sobre una base comun","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0013,2026-06-05,Events/Radiofrecuencia,Arquitectura de activacion temporal,Alta,"Lite y Pro pueden incluir radio RF normalmente apagado y habilitarse temporalmente al inscribirse en una competencia Save Swimmer Events","Los dispositivos propios y alquilados comparten identidad, protocolo y panel; Events agrega gateways e infraestructura, reduciendo progresivamente la flota de alquiler necesaria","Lite/Pro/Events",PROPUESTA_CONDICIONAL,BASE-V001
SS-CON-0014,2026-06-05,Estrategia producto,Capacidad dormida,Alta,"Una funcion futura puede incorporarse desde fabrica sin promocionarse inicialmente y anunciarse cuando el ecosistema este validado","La capacidad Events dormida agrega valor a dispositivos ya vendidos, pero solo debe incluirse si permanece dentro del margen y cumple homologacion, privacidad y actualizacion segura","Lite/Pro/Events",PROPUESTA_CONDICIONAL,BASE-V001
SS-CON-0015,2026-06-05,Events/Registro,Check-in digital y asignacion temporal,Alta,"Events debe reducir filas mediante preinscripcion digital, QR temporal, verificacion presencial y escaneo del dispositivo propio o alquilado","La identidad del atleta, su participacion y el dispositivo quedan vinculados solamente durante el evento; el vinculo se cierra al confirmar llegada o incidencia","Events",PROPUESTA,BASE-V001
SS-CON-0016,2026-06-05,Events/Cronometraje,Limite inicial,Alta,"Save Swimmer Events debe comenzar como sistema de seguridad, identidad y control operativo, separado del cronometraje oficial","La integracion con tiempos oficiales puede evaluarse posteriormente cuando precision, reglas, certificacion y responsabilidad esten validadas","Events",PROPUESTA,BASE-V001
SS-CON-0017,2026-06-05,Estrategia competitiva,Finisher Data,Alta,"Finisher Data es rival estrategico por acceso a organizadores, operacion, chips, inscripciones y resultados; no es inicialmente rival directo del nucleo de seguridad acuática continua","Save Swimmer debe diferenciarse en lo que ocurre entre salida y llegada, mantener cronometraje oficial separado y conservar posibilidad de integracion o alianza","Events",ACTIVA,BASE-V001
SS-CON-0018,2026-06-05,Gobierno estrategico,Escenarios futuros,Alta,"Las posibilidades de Events, RF dormido, alianzas, integraciones, competencia y cronometraje deben mantenerse como escenarios evaluables y no como compromisos cerrados","Cada escenario debe tener señal de activacion, preparación previa, riesgo, impacto y criterio para avanzar o descartarlo","Empresa/Lite/Pro/Events",ACTIVA,BASE-V001
SS-CON-0019,2026-06-05,Events/Emergencias,Escalamiento interno,Critica,"En una competencia Save Swimmer Events no debe generar SOS gubernamental automatico","Las alertas se dirigen primero al centro de seguridad del evento, que posee contexto, personal y protocolos; dicho centro decide cualquier escalamiento externo","Events",PROPUESTA,BASE-V001
SS-CON-0020,2026-06-05,Events/Multisport,Segmento acuatico,Alta,"Save Swimmer Events puede aplicarse a triatlon, aquathlon, swimrun y eventos con agua si limita su responsabilidad al segmento acuatico y transicion de salida","El dispositivo debe operar pasivamente, sin distraer ni entregar ventaja, y requerir aprobacion del organizador o federacion","Events Multisport",PROPUESTA,BASE-V001
SS-CON-0021,2026-06-05,Estrategia mercado,Plataforma por capas,Alta,"Save Swimmer debe crecer como plataforma de dispositivo personal, monitoreo de grupos e infraestructura Events","Las versiones comparten tecnologia cuando resulte economico, pero cada mercado conserva promesa, operacion y responsabilidad diferenciadas","Lite/Pro/Coach/Family/Events",ACTIVA,BASE-V001
SS-CON-0022,2026-06-05,Institucional/PNP,Etapa de acercamiento,Alta,"El primer acercamiento a la PNP debe ser de escucha operativa con la Unidad de Salvataje, no una solicitud de aprobación ni integración de emergencias","La integración formal solo se evalúa después de prototipo acuático seguro, pilotos documentados, alertas confiables, empresa formal, responsabilidades y protocolo acordado","Empresa/Lite/Pro",ACTIVA,BASE-V001
SS-CON-0023,2026-06-05,Emergencias/PNP,Limite de escalamiento,Critica,"Save Swimmer no debe enviar alertas automáticas a la Central 105 sin convenio, canal autorizado y validación humana","La Central 105 atiende un volumen elevado de emergencias; falsos positivos podrían desperdiciar recursos y perjudicar al proyecto","Lite/Pro",ACTIVA,BASE-V001
SS-CON-0024,2026-06-06,Posicionamiento,Diferenciacion frente a relojes,Critica,"Save Swimmer no debe posicionarse como otro reloj o registrador deportivo; su diferencia central es buscar reconocer contexto incompatible con un nado normal y generar una alerta temprana","Mientras relojes y trackers suelen registrar o compartir informacion, Save Swimmer aspira a reducir el tiempo entre una posible incidencia y su conocimiento por coach, familia o responsable; esta capacidad debe comunicarse como objetivo en validacion, no como garantia actual","Lite/Pro/Coach/Family",ACTIVA,BASE-V001
SS-CON-0025,2026-06-06,Alertas,Manual mas automatica contextual,Critica,"Save Swimmer debe conservar activacion manual de SOS y desarrollar alerta automatica contextual para escenarios donde el nadador no puede pedir ayuda","La alerta automática solo agrega valor si usa persistencia, movimiento, ubicación, agua/seco, tiempo y confirmaciones para reducir falsos positivos; debe escalar progresivamente y permitir cancelación cuando sea seguro","Lite/Pro/Coach/Family/Events",PROPUESTA,BASE-V001
SS-CON-0026,2026-06-06,Events/Seguridad,Contabilizacion continua,Critica,"En Events no basta registrar salida y llegada; el centro de seguridad debe conocer continuamente quienes están en agua, cerrados seguros, fuera de tiempo o pendientes","Toda alerta debe tener responsable, confirmación y trazabilidad; Save Swimmer complementa pero nunca sustituye conteo, observación, embarcaciones, salvamento ni protocolos humanos","Events/Events Multisport",ACTIVA,BASE-V001
SS-CON-0027,2026-06-06,Proposito/Trazabilidad,Estado conocido,Critica,"Save Swimmer busca reducir el tiempo durante el cual nadie sabe si una persona sigue en agua, salio, se retiro o necesita verificacion","El valor del producto no se comunica como salvar vidas por si solo, sino como generar contexto, alertas y trazabilidad para que responsables humanos puedan actuar antes y con mejor informacion","Lite/Pro/Coach/Family/Events",ACTIVA,BASE-V001
SS-CON-0028,2026-06-06,Events/Seguridad,Estado desconocido accionable,Critica,"En una operacion acuatica la ausencia de confirmacion no es un cierre ni un dato neutro: es un estado que requiere verificacion","Ningun atleta debe suponerse seguro, retirado, en hotel o fuera del evento sin cierre verificable; al superar el tiempo definido debe escalarse como ESTADO_DESCONOCIDO y activar el protocolo humano correspondiente","Events/Events Multisport",ACTIVA,BASE-V001
SS-CON-0029,2026-06-06,Alertas/Interpretacion,Incertidumbre accionable,Critica,"Save Swimmer no necesita declarar que una persona esta en emergencia para aportar valor; debe detectar situaciones que justifican verificacion humana","Una pausa, gesto, desvio o salida incorrecta se comunica con identidad, ubicacion, duracion y contexto; el responsable confirma y escala segun protocolo","Lite/Pro/Coach/Events",ACTIVA,BASE-V001
SS-CON-0030,2026-06-08,Hardware/Seguridad,Flotabilidad positiva y autoenderezamiento,Critica,"El dispositivo debe flotar si se desprende y autorenderezarse con antena y señal visual sobre el agua","La ubicacion posterior al desprendimiento corresponde al dispositivo y no confirma la posicion del nadador; la app debe comunicar esta incertidumbre y activar verificacion humana","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0031,2026-06-08,Comunicacion/Mapa,Confianza de comunicacion observada,Alta,"Save Swimmer puede construir un mapa colaborativo de desempeño observado para ayudar a planificar rutas y contextualizar perdidas de señal","No debe presentarse como cobertura garantizada ni reemplazar protocolos; debe indicar muestras, antiguedad, confianza, privacidad y que el comportamiento futuro puede variar","Lite/Pro/Coach/Events",PROPUESTA,BASE-V001
