seccion,item,escenario,valor_soles,periodicidad,base_calculo,observacion
SUPUESTOS,IGV Peru,General,18.00,porcentaje,Referencia tributaria,"Separar siempre precio publico con IGV del ingreso neto sin IGV"
SUPUESTOS,Comision tienda app,Google/Apple referencial,15.00,porcentaje,Si membresia se cobra dentro de tienda,"Puede variar por programa/pais/plataforma; usar como escenario conservador inicial"
SUPUESTOS,Tipo de cambio referencia,General,3.40,por USD,Referencia operativa,"Actualizar cuando se paguen servicios en dolares"
DISPOSITIVO_LITE,Precio publico bajo,LITE,600.00,venta unica,Incluye IGV,"Referencia inicial planteada para rango 600/800 soles"
DISPOSITIVO_LITE,Ingreso sin IGV precio bajo,LITE,508.47,venta unica,600 / 1.18,"Ingreso real antes de costo de producto, empaque, garantia, envio y recuperacion prototipo"
DISPOSITIVO_LITE,IGV debito precio bajo,LITE,91.53,venta unica,600 - 508.47,"Se compensa con credito fiscal de compras formales cuando aplique"
DISPOSITIVO_LITE,Precio publico alto,LITE,800.00,venta unica,Incluye IGV,"Referencia inicial planteada para rango 600/800 soles"
DISPOSITIVO_LITE,Ingreso sin IGV precio alto,LITE,677.97,venta unica,800 / 1.18,"Ingreso real antes de costo de producto, empaque, garantia, envio y recuperacion prototipo"
DISPOSITIVO_LITE,IGV debito precio alto,LITE,122.03,venta unica,800 - 677.97,"Se compensa con credito fiscal de compras formales cuando aplique"
MEMBRESIA_LITE,Precio publico mensual,LITE,50.00,mensual,Incluye IGV,"Base sugerida mas sana que S/40 si incluye backend/soporte/conectividad"
MEMBRESIA_LITE,Ingreso sin IGV sin tienda,LITE_DIRECTO,42.37,mensual,50 / 1.18,"Escenario si se cobra por web/Plin/Yape/transferencia/ecommerce fuera de tienda"
MEMBRESIA_LITE,Comision tienda estimada,LITE_MARKET,7.50,mensual,50 * 15%,"Escenario si se cobra dentro de Play/App Store"
MEMBRESIA_LITE,Neto aprox despues tienda e IGV,LITE_MARKET,34.87,mensual,42.37 - 7.50,"Modelo simplificado; validar tratamiento real con contador/pasarela"
MEMBRESIA_LITE,Costo chip/datos objetivo,LITE,12.00,mensual,Estimado objetivo,"Meta ideal negociando volumen; Entel prepago usuario era S/20 como referencia"
MEMBRESIA_LITE,Costo chip/datos conservador,LITE,20.00,mensual,Referencia prepago,"Si cuesta S/20, la membresia Lite de S/50 queda mas ajustada"
MEMBRESIA_LITE,Backend variable por usuario,LITE,2.00,mensual,Estimado beta,"Servidor/base/notificaciones repartido por usuario"
MEMBRESIA_LITE,Soporte/reserva operativa por usuario,LITE,5.00,mensual,Estimado inicial,"Atencion, consultas, revisiones y soporte manual"
MEMBRESIA_LITE,Garantia/reserva reposicion,LITE,3.00,mensual,Estimado inicial,"Fondo para fallas, reemplazos parciales o mantenimiento"
CONTRIBUCION_LITE,Aporte neto directo con chip objetivo,LITE_DIRECTO,22.37,mensual,42.37 - 12 - 2 - 5 - 3,"Aporte aproximado para cubrir costos fijos y utilidad"
CONTRIBUCION_LITE,Aporte neto directo con chip S20,LITE_DIRECTO,14.37,mensual,42.37 - 20 - 2 - 5 - 3,"Muestra por que negociar chip/datos es importante"
CONTRIBUCION_LITE,Aporte neto market con chip objetivo,LITE_MARKET,14.87,mensual,34.87 - 12 - 2 - 5 - 3,"Si se cobra por tienda, margen Lite se reduce bastante"
CONTRIBUCION_LITE,Aporte neto market con chip S20,LITE_MARKET,6.87,mensual,34.87 - 20 - 2 - 5 - 3,"Escenario riesgoso para Lite"
COACH_FREE,Precio,COACH_FREE,0.00,mensual,Gratis,"Incluye SOS/alarma critica siempre; no cobrar emergencia"
COACH_FREE,Costo backend por coach free activo,COACH_FREE,3.00,mensual,Estimado,"Debe limitar cantidad de atletas/uso para controlar costo"
COACH_PRO,Precio publico mensual base,COACH_PRO,120.00,mensual,Incluye IGV,"Referencia inicial para entrenador/club pequeno; ajustar por mercado"
COACH_PRO,Ingreso sin IGV,COACH_PRO,101.69,mensual,120 / 1.18,"Ingreso real antes de backend, soporte y pasarela"
COACH_PRO,Costo backend/soporte variable,COACH_PRO,20.00,mensual,Estimado,"Mayor uso de mapa, reportes, grupos y soporte"
COACH_PRO,Aporte neto directo,COACH_PRO,81.69,mensual,101.69 - 20,"Aporte fuerte para sostener estructura"
FAMILIA,Precio,FAMILIA,0.00,mensual,Gratis,"Debe ser gratis para no bloquear seguridad ni adopcion"
FAMILIA,Costo variable por contacto,FAMILIA,0.50,mensual,Estimado,"Notificaciones/consulta ligera; se cubre con membresia atleta"
COSTOS_FIJOS,Backend base beta,LEAN,150.00,mensual,Estimado,"Servidor/API/base de datos inicial"
COSTOS_FIJOS,Web/ecommerce/dominio,LEAN,80.00,mensual,Estimado,"Dominio, hosting, landing, tienda basica"
COSTOS_FIJOS,Contabilidad/administracion minima,LEAN,300.00,mensual,Estimado,"Variable segun contador/regimen"
COSTOS_FIJOS,Soporte operativo minimo,LEAN,300.00,mensual,Estimado,"Tiempo propio/terceros, atencion beta"
COSTOS_FIJOS,Herramientas/miscelaneos,LEAN,150.00,mensual,Estimado,"Correos, pruebas, servicios menores"
COSTOS_FIJOS,Total estructura lean,LEAN,980.00,mensual,Suma costos fijos lean,"No incluye sueldo formal de fundador"
COSTOS_FIJOS,Primer sueldo/operacion minima,EMPRESA_MINIMA,2500.00,mensual,Estimado,"Monto inicial para contemplar remuneracion o responsable operativo"
COSTOS_FIJOS,Total empresa minima,EMPRESA_MINIMA,3480.00,mensual,980 + 2500,"Primer punto donde empieza a parecer empresa, no solo prototipo"
COSTOS_FIJOS,Equipo pequeno,EMPRESA_EQUIPO,8500.00,mensual,Estimado,"Soporte + dev/backend parcial + administracion/comercial"
PUNTO_EQUILIBRIO,LITE directo chip objetivo para estructura lean,LEAN,44,usuarios,980 / 22.37,"Aprox usuarios Lite activos necesarios para cubrir costos fijos lean"
PUNTO_EQUILIBRIO,LITE directo chip S20 para estructura lean,LEAN,69,usuarios,980 / 14.37,"Si chip cuesta S/20, se necesita mas volumen"
PUNTO_EQUILIBRIO,LITE market chip objetivo para estructura lean,LEAN,66,usuarios,980 / 14.87,"Cobrar por tienda retrasa equilibrio"
PUNTO_EQUILIBRIO,LITE directo chip objetivo empresa minima,EMPRESA_MINIMA,156,usuarios,3480 / 22.37,"Usuarios Lite activos para cubrir estructura minima con primer sueldo"
PUNTO_EQUILIBRIO,LITE directo chip S20 empresa minima,EMPRESA_MINIMA,243,usuarios,3480 / 14.37,"Escenario exigente"
PUNTO_EQUILIBRIO,LITE directo chip objetivo equipo pequeno,EMPRESA_EQUIPO,380,usuarios,8500 / 22.37,"Equipo pequeno requiere volumen real o planes Pro/Coach"
PUNTO_EQUILIBRIO,Coach Pro para estructura lean,LEAN,12,coaches,980 / 81.69,"Coach Pro puede ayudar mucho a sostener estructura"
PUNTO_EQUILIBRIO,Coach Pro para empresa minima,EMPRESA_MINIMA,43,coaches,3480 / 81.69,"No depender solo de Coach Pro; combinar con Lite"
ESCENARIO_MIXTO,100 Lite directo chip objetivo + 5 Coach Pro,LEAN,2646.15,mensual,(100*22.37)+(5*81.69),"Cubre estructura lean y deja margen inicial antes de impuestos adicionales/no contemplados"
ESCENARIO_MIXTO,150 Lite directo chip objetivo + 5 Coach Pro,EMPRESA_MINIMA,3764.65,mensual,(150*22.37)+(5*81.69),"Aproxima cobertura de empresa minima"
ESCENARIO_MIXTO,250 Lite directo chip objetivo + 10 Coach Pro,EMPRESA_MINIMA,6409.00,mensual,(250*22.37)+(10*81.69),"Mejor escenario para pagar estructura y reinvertir"
PENDIENTE,Validar regimen tributario,LEGAL_CONTABLE,0.00,pendiente,Contador,"Confirmar IGV, renta, comprobantes, credito fiscal y tratamiento de membresias"
PENDIENTE,Separar base fiscal/operativa/seguridad/deportiva,BASE_DATOS,0.00,pendiente,Arquitectura,"Evita mezclar datos fiscales con contactos emergencia, permisos y telemetria"
PENDIENTE,Definir politica de cobro,PAGOS,0.00,pendiente,Producto,"Web/Plin/Yape/transferencia al inicio; Play Billing solo si conviene"
PENDIENTE,Costear producto final,DISPOSITIVO,0.00,pendiente,BOM/PCB/carcasa,"Precio final no puede salir solo del costo informal del prototipo"
FORMALIZACION,Constitucion SAC con 2 socios,COTIZACION_RECIBIDA,900.00,unica,Cotizacion profesional recibida 2026-06-06,"Tiempo estimado 20 a 30 dias calendario; confirmar por escrito conceptos incluidos y costos adicionales"
COSTO_FIJO,Servicio contable mensual,COTIZACION_RECIBIDA,150.00,mensual,Desde S/150 segun plan de trabajo,"Incluir declaraciones mensuales, libros, comprobantes, cierre anual, planilla y asesoria solo si el plan los contempla"
SUPUESTOS,Regimen tributario inicial recomendado,RMT,0.00,referencia,Recomendacion profesional contrastada con SUNAT,"Apto para persona juridica con rentas de tercera categoria e ingresos dentro del limite; permite facturar, deducir costos y pagar renta segun resultado"
PENDIENTE,Verificar alcance cotizacion constitucion,LEGAL_CONTABLE,0.00,antes_de_constituir,Responsable + notaria/contador,"Confirmar reserva de nombre, minuta, escritura publica, derechos SUNARP, RUC, libros, cuenta bancaria y gastos no incluidos"
PENDIENTE,Definir tratamiento inversion del fundador,LEGAL_CONTABLE,0.00,antes_de_constituir,Contador,"Documentar aportes, prestamos de socio, compras de prototipo previas, crowdfunding y forma legal de recuperacion"
PENDIENTE,Evaluar inscripcion REMYPE,LABORAL,0.00,cuando_exista_trabajador,Contador/asesor laboral,"REMYPE es un registro laboral distinto del Regimen MYPE Tributario; requiere al menos un trabajador y debe evaluarse por separado"
